species;water;pctnit
Leucaena leucocephala;50;3,644
Leucaena leucocephala;50;3,5
Leucaena leucocephala;50;3,509
Leucaena leucocephala;50;3,137
Leucaena leucocephala;50;3,1
Leucaena leucocephala;50;3,081
Leucaena leucocephala;50;3,172
Leucaena leucocephala;50;3,05
Leucaena leucocephala;50;3,096
Leucaena leucocephala;150;2,763
Leucaena leucocephala;150;2,671
Leucaena leucocephala;150;2,631
Leucaena leucocephala;150;2,795
Leucaena leucocephala;150;2,797
Leucaena leucocephala;150;2,784
Leucaena leucocephala;150;2,817
Leucaena leucocephala;150;2,798
Leucaena leucocephala;150;2,816
Leucaena leucocephala;250;2,876
Leucaena leucocephala;250;2,891
Leucaena leucocephala;250;2,85
Leucaena leucocephala;250;3,163
Leucaena leucocephala;250;3,072
Leucaena leucocephala;250;3,023
Leucaena leucocephala;250;2,501
Leucaena leucocephala;250;2,52
Leucaena leucocephala;250;2,69
Leucaena leucocephala;350;2,996
Leucaena leucocephala;350;3,012
Leucaena leucocephala;350;3,04
Leucaena leucocephala;350;2,944
Leucaena leucocephala;350;2,946
Leucaena leucocephala;350;2,922
Leucaena leucocephala;350;2,846
Leucaena leucocephala;350;2,865
Leucaena leucocephala;350;2,855
Leucaena leucocephala;450;2,92
Leucaena leucocephala;450;2,905
Leucaena leucocephala;450;3,012
Leucaena leucocephala;450;3,114
Leucaena leucocephala;450;3,156
Leucaena leucocephala;450;3,142
Leucaena leucocephala;450;3,078
Leucaena leucocephala;450;3,044
Leucaena leucocephala;450;3,096
Leucaena leucocephala;550;3,095
Leucaena leucocephala;550;3,115
Leucaena leucocephala;550;3,134
Leucaena leucocephala;550;3,192
Leucaena leucocephala;550;3,142
Leucaena leucocephala;550;3,19
Leucaena leucocephala;550;3,042
Leucaena leucocephala;550;2,997
Leucaena leucocephala;550;2,96
Leucaena leucocephala;650;3,335
Leucaena leucocephala;650;3,345
Leucaena leucocephala;650;3,343
Leucaena leucocephala;650;3,64
Leucaena leucocephala;650;3,6
Leucaena leucocephala;650;3,604
Leucaena leucocephala;650;3,083
Leucaena leucocephala;650;3,056
